millis,stamp,datetime,motion
480999, 2047401165, 2115/165/0 1:1:1, Inactive
481999, 2047401165, 2115/165/0 1:1:1, Inactive
482999, 2047401165, 2115/165/0 1:1:1, Inactive
483999, 2047401165, 2115/165/0 1:1:1, Inactive
484999, 2047401165, 2115/165/0 1:1:1, Inactive
485999, 2047401165, 2115/165/0 1:1:1, Inactive
486999, 2047401165, 2115/165/0 1:1:1, Inactive
487999, 2047401165, 2115/165/0 1:1:1, Inactive
488999, 2047401165, 2115/165/0 1:1:1, Active
489999, 2047401165, 2115/165/0 1:1:1, Active
490999, 2047401165, 2115/165/0 1:1:1, Active
492000, 2047401165, 2115/165/0 1:1:1, Inactive
492999, 2047401165, 2115/165/0 1:1:1, Inactive
493999, 2047401165, 2115/165/0 1:1:1, Inactive
494999, 2047401165, 2115/165/0 1:1:1, Inactive
496000, 2047401165, 2115/165/0 1:1:1, Inactive
496999, 2047401165, 2115/165/0 1:1:1, Inactive
497999, 2047401165, 2115/165/0 1:1:1, Active
498999, 2047401165, 2115/165/0 1:1:1, Active
499999, 2047401165, 2115/165/0 1:1:1, Active
500999, 2047401165, 2115/165/0 1:1:1, Inactive
501999, 2047401165, 2115/165/0 1:1:1, Inactive
503000, 2047401165, 2115/165/0 1:1:1, Inactive
503999, 2047401165, 2115/165/0 1:1:1, Inactive
504999, 2047401165, 2115/165/0 1:1:1, Inactive
